08-19 23:07:25.659   640 21621 I mtkpower_client: perf_lock_rel, hdl:141859, tid:21621
08-19 23:07:25.780   640 21628 I mtkpower_client: perf_lock_rel, hdl:141861, tid:21628
08-19 23:07:26.129   640 21627 I mtkpower_client: perf_lock_rel, hdl:141860, tid:21627
08-20 01:15:48.550  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31340(1368KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8756KB/14MB, paused 119us total 138.715ms
08-20 01:15:58.117  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31559(1376KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8753KB/14MB, paused 111us total 138.960ms
08-20 01:16:00.885   385   385 E SELinux : avc:  denied  { find } for interface=android.hardware.memtrack::IMemtrack sid=u:r:gmscore_app:s0:c512,c768 pid=2162 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:hal_memtrack_hwservice:s0 tclass=hwservice_manager permissive=0
08-20 01:16:00.886  2162  6801 E memtrack: Couldn't load memtrack module
08-20 01:16:07.703  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31483(1388KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8756KB/14MB, paused 120us total 139.532ms
08-20 01:16:17.314  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31620(1400KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8744KB/14MB, paused 120us total 139.584ms
08-20 01:16:26.980  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31574(1376KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8759KB/14MB, paused 110us total 139.303ms
08-20 01:16:36.707  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31438(1372KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8759KB/14MB, paused 110us total 139.780ms
08-20 01:16:46.389  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31371(1369KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8762KB/14MB, paused 113us total 139.708ms
08-20 01:16:56.060  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31552(1375KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8759KB/14MB, paused 117us total 139.822ms
08-20 01:17:05.708  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31436(1369KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8760KB/14MB, paused 116us total 139.952ms
08-20 01:17:15.316  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31354(1385KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8763KB/14MB, paused 110us total 140.347ms
08-20 01:17:24.910  2162  2199 I .gms.persisten: Background concurrent copying GC freed 31560(1375KB) AllocSpace objects, 92(4784KB) LOS objects, 41% free, 8760KB/14MB, paused 126us total 138.715ms
08-20 01:17:33.873  2162  2199 I .gms.persisten: Background concurrent copying GC freed 48245(2067KB) AllocSpace objects, 88(4456KB) LOS objects, 39% free, 9556KB/15MB, paused 596us total 191.143ms
08-20 01:17:34.617  2162  2382 W ConfigurationChimeraPro: Caller is not authorized to access Uri: content://com.google.android.gms.phenotype/com.google.android.gms.fonts [CONTEXT service_id=51 ]
08-20 01:17:35.026  2162  2382 I FontLog : Pulling font file for id = 1, cache size = 1 [CONTEXT service_id=132 ]
08-20 01:17:37.573  2162  2199 I .gms.persisten: Background concurrent copying GC freed 33146(1488KB) AllocSpace objects, 104(5408KB) LOS objects, 37% free, 10157KB/15MB, paused 162us total 165.678ms
08-20 01:17:40.837  2162  2199 I .gms.persisten: Background concurrent copying GC freed 32169(1432KB) AllocSpace objects, 98(5096KB) LOS objects, 37% free, 10182KB/15MB, paused 177us total 162.692ms
08-20 01:17:44.428  2162  2199 I .gms.persisten: Background concurrent copying GC freed 33558(1519KB) AllocSpace objects, 102(5304KB) LOS objects, 37% free, 10181KB/15MB, paused 172us total 165.769ms
08-20 01:17:47.675  2162  2199 I .gms.persisten: Background concurrent copying GC freed 33993(1524KB) AllocSpace objects, 106(5512KB) LOS objects, 37% free, 10073KB/15MB, paused 157us total 159.295ms
08-20 01:17:55.077  2162  2513 D SharedPreferencesImpl: Time required to fsync /data/user/0/com.google.android.gms/shared_prefs/tron_prefs.xml: [<1: 0, <2: 0, <4: 368, <8: 4647, <16: 64, <32: 24, <64: 16, <128: 1, <256: 0, <512: 0, <1024: 0, <2048: 0, <4096: 0, <8192: 0, <16384: 0, >=16384: 0]
08-20 01:18:04.093  2162  2199 I .gms.persisten: Background concurrent copying GC freed 33145(1485KB) AllocSpace objects, 100(5200KB) LOS objects, 37% free, 10065KB/15MB, paused 186us total 153.907ms
08-20 01:18:05.765  2162  2199 I .gms.persisten: Background concurrent copying GC freed 33240(1504KB) AllocSpace objects, 100(5200KB) LOS objects, 37% free, 10062KB/15MB, paused 180us total 156.171ms
08-20 01:18:10.860  2162  2199 I .gms.persisten: Background concurrent copying GC freed 32824(1495KB) AllocSpace objects, 100(5200KB) LOS objects, 37% free, 10031KB/15MB, paused 261us total 153.895ms
08-20 01:18:12.561  2162  2199 I .gms.persisten: Background concurrent copying GC freed 33168(1497KB) AllocSpace objects, 102(5304KB) LOS objects, 37% free, 10036KB/15MB, paused 241us total 153.711ms
08-20 01:18:14.286  2162  2199 I .gms.persisten: Background concurrent copying GC freed 33387(1491KB) AllocSpace objects, 102(5304KB) LOS objects, 37% free, 10031KB/15MB, paused 245us total 153.569ms
